"bloqueId";"bloque";"color"
150;"Participación y Justicia";"F0F0F0"
151;"Partido Blanco";"F0F0F0"
152;"Partido Comunista";"F0F0F0"
153;"Partido Conservador Popular";"F0F0F0"
154;"Partido de la Concertación - FORJA";"F0F0F0"
155;"Partido de la Revolución Democrática";"F0F0F0"
156;"Partido Demócrata por la Capital Federal";"F0F0F0"
157;"Partido Demócrata Progresista";"F0F0F0"
158;"Partido Federal";"F0F0F0"
159;"Partido Federal Fueguino";"F0F0F0"
160;"Partido Intransigente";"F0F0F0"
161;"Partido Justicialista La Pampa";"F0F0F0"
162;"Partido Liberal de Corrientes";"F0F0F0"
163;"Partido Nuevo";"F0F0F0"
164;"Partido Nuevo Contra la Corrupción";"F0F0F0"
165;"Partido Socialista";"fa58f4"
166;"Partido Socialista Popular";"F0F0F0"
167;"Partido Unidad Federalista";"F0F0F0"
168;"Peronismo Federal";"0b615e"
169;"Peronismo Jujeño";"F0F0F0"
170;"Peronismo mas al Sur";"F0F0F0"
171;"Peronismo para la Victoria";"2E9AFE"
172;"Peronismo Peronista";"F0F0F0"
173;"Peronismo Popular";"F0F0F0"
174;"Peronista";"F0F0F0"
175;"Peronista Córdoba Ciudadana";"F0F0F0"
176;"Peronista Federal";"0b615e"
177;"Peronista Salteño";"F0F0F0"
178;"Polo Social";"F0F0F0"
179;"Primero Tucumán";"F0F0F0"
180;"PRO";"e7ba52"
181;"Propuesta Peronista";"F0F0F0"
182;"Propuesta Republicana";"e7ba52"
183;"Proyecto Corrientes";"F0F0F0"
184;"Proyecto Progresista";"F0F0F0"
185;"Proyecto Social Alternativo";"F0F0F0"
186;"Proyecto Sur";"F0F0F0"
187;"Proyecto Sur - UNEN";"F0F0F0"
188;"PTS - Frente de Izquierda";"F0F0F0"
189;"Recrear";"F0F0F0"
190;"Recrear -- Tucumán";"F0F0F0"
191;"Recrear para el Crecimiento";"F0F0F0"
192;"Red de Encuentro Social";"F0F0F0"
193;"Renovador de Salta";"F0F0F0"
194;"Renovador Social Cristiano";"F0F0F0"
195;"Republicano Democrático";"F0F0F0"
196;"Ricardo Balbin";"F0F0F0"
197;"Salta Somos Todos";"F0F0F0"
198;"Santa Fe en Movimiento";"F0F0F0"
199;"Santa Fe Federal";"F0F0F0"
200;"SI por la Unidad Popular";"F0F0F0"
201;"Soberania Popular";"F0F0F0"
202;"Social Cristiano";"F0F0F0"
203;"Socialismo Popular";"F0F0F0"
204;"Socialista del MIJD";"F0F0F0"
205;"Solidaridad e Igualdad (SI)";"F0F0F0"
206;"Solidaridad e Igualdad (SI) - ARI (T.D.F)";"F0F0F0"
207;"Solidaridad e Igualdad (SI) - Proyecto P";"F0F0F0"
208;"Solidario SI";"F0F0F0"
209;"SUMA + UNEN";"F26136"
210;"Trabajo y Dignidad";"F0F0F0"
211;"U. Ce. De.";"F0F0F0"
212;"U. Socialista";"F0F0F0"
213;"U.B.";"F0F0F0"
214;"U.De.So.";"F26136"
215;"U.De.So. Salta";"F26136"
216;"Unidad Bonaerense";"F0F0F0"
0;"Presidente";
475;"Protectora";"F0F0F0"
476;"Red por Argentina";"F0F0F0"
477;"Movimiento Evita";"2E9AFE"
478;"Somos";"B40486"
479;"Córdoba Federal";"333333"
480;"Izquierda Socialista - FIT";"F0F0F0"
217;"Unidad Federalista";"F0F0F0"
218;"Unidad para el Desarrollo Social y la Equidad";"F0F0F0"
219;"Unidad Popular";"F0F0F0"
220;"Unidos por una Nueva Argentina";"000000"
498;"Hacemos Coalicion Federal";"FFE633"
499;"Independencia";"F0F0F0"
500;"Innovacion Federal";"EDBB99"
501;"La Union Mendocina";"F0F0F0"
502;"Por Santa Cruz";"F0F0F0"
503;"Unión por la Patria";"1f77b4"
504;"Encuentro Federal";"FFE633"
505;"Fuerzas del Cielo - Espacio Liberal";"F0F0F0"
221;"Unión Celeste y Blanca";"F0F0F0"
222;"Unión Celeste y Blanco";"F0F0F0"
223;"Unión Centro Democrático";"F0F0F0"
224;"Union Cívica Radical";"F0F0F0"
225;"Unión Cívica Radical";"d62728"
226;"Unión Peronista";"0b615e"
227;"Unión por Argentina";"F0F0F0"
228;"Unión por Córdoba";"333333"
229;"Unión por Entre Ríos";"F0F0F0"
230;"Unión por San Juan";"F0F0F0"
231;"Unión por Todos";"F0F0F0"
481;"Juntos Somos Río Negro";"F0F0F0"
482;"Partido Propuesta Salteña";"F0F0F0"
483;"Unidad y Equidad Federal";"F0F0F0"
484;"Acción Federal";"F0F0F0"
232;"Unión PRO";"e7ba52"
233;"UNIR";"F0F0F0"
234;"Valores para mi País";"F0F0F0"
235;"Vida y Compromiso";"F0F0F0"
460;"Córdoba Trabajo y Producción";"F0F0F0"
461;"Elijo Catamarca";"F0F0F0"
462;"Evolución Radical";"F26136"
463;"Justicialista por Tucumán";"F0F0F0"
464;"Nuevo Espacio Santafesino";"F0F0F0"
465;"Partido Intransigente de Mendoza";"F0F0F0"
466;"Partido por la Justicia Social";"F0F0F0"
467;"Primero Argentina";"F0F0F0"
468;"Somos Mendoza";"F0F0F0"
469;"Somos San Juan";"F0F0F0"
470;"Todos Juntos por San Juan";"F0F0F0"
471;"Frente de la Concordia Misionero";"EDBB99"
472;"Frente Nueva Dirigencia";"F0F0F0"
473;"Politica Abierta";"F0F0F0"
1;"A.R.I";"2ca02c"
2;"A.R.I Autónomo 8 +";"2ca02c"
3;"Acción Chaqueña";"F0F0F0"
4;"Acción por la República";"F0F0F0"
5;"Afirmación Peronista";"F0F0F0"
6;"AL. H. T. E. (Socialista)";"F0F0F0"
7;"Alianza";"F0F0F0"
8;"Alianza Acción Chaqueña";"F0F0F0"
9;"Alianza Frente Alternatva Pampeana";"F0F0F0"
10;"Autodeterminación y Libertad";"F0F0F0"
11;"Autonomista de Corrientes";"F0F0F0"
12;"Avanzar San Luis";"F0F0F0"
13;"BG Juan B. Bustos";"F0F0F0"
14;"Bloque de los Trabajadores";"F0F0F0"
15;"Bloque GEN";"F0F0F0"
16;"Bloque por la Verdad";"F0F0F0"
17;"Bloque Social Patagónico";"F0F0F0"
18;"Bloque Unipersonal";"F0F0F0"
19;"Bloque Unipersonal Cultura, Educación y Trabajo";"F0F0F0"
20;"Bloquista de San Juan";"F0F0F0"
21;"Bs. As. para Todos en Proyecto Sur";"F0F0F0"
22;"Buenos Aires";"F0F0F0"
23;"Buenos Aires por el Cambio";"F0F0F0"
24;"Chubut Somos Todos";"F0F0F0"
25;"Coalición Cívica";"2ca02c"
26;"Coalición Cívica - ARI";"2ca02c"
27;"Coalición Cívica - ARI - GEN - UPT";"2ca02c"
28;"Coalición Cívica - ARI - UNEN";"2ca02c"
29;"Compromiso con San Juan";"F0F0F0"
30;"Compromiso Federal";"8A2908"
31;"Compromiso para el Cambio";"e7ba52"
32;"Concertación Entrerriana";"F0F0F0"
33;"Concertación FORJA";"F0F0F0"
34;"Consenso Federal";"0b615e"
35;"Conservador Popular";"F0F0F0"
36;"Convergencia";"F0F0F0"
37;"Convergencia Federal";"8A2908"
38;"Córdoba Federal";"333333"
39;"Corriente de Pensamiento Federal";"F0F0F0"
40;"Corriente Grande";"F0F0F0"
41;"Corriente Peronista Federal";"F0F0F0"
42;"Cruzada Renovadora";"F0F0F0"
103;"Fuerza Republicana";"F0F0F0"
104;"GEN";"F0F0F0"
105;"Guardia Peronista";"F0F0F0"
106;"Independiente";"F0F0F0"
107;"Intransigente";"F0F0F0"
474;"Unidad Justicialista";"8A2908"
108;"Izquierda Socialista - Frente de Izquierda";"F0F0F0"
109;"Izquierda Unida";"F0F0F0"
110;"Juntos por Argentina";"086A87"
111;"Justicialismo Republicano";"F0F0F0"
112;"Justicialista";"0101DF"
113;"Justicialista Nacional";"F0F0F0"
114;"La Argentina de los Valores";"F0F0F0"
115;"Liberal de Corrientes";"F0F0F0"
496;"Valores Republicanos";"F0F0F0"
497;"Buenos Aires Libre";"F0F0F0"
116;"Libertad y Democracia";"F0F0F0"
117;"Libertad, Valores y Cambios";"F0F0F0"
118;"Libres del Sur";"B40486"
119;"Linea Abierta";"F0F0F0"
120;"lzquierda Unida";"F0F0F0"
121;"M.M.T.A.";"F0F0F0"
122;"Memoria y Democracia";"F0F0F0"
123;"MO.RE.CI";"F0F0F0"
124;"MODIN";"F0F0F0"
125;"Mov. Azul y Blanco";"F0F0F0"
126;"Mov. de Bases Independientes";"F0F0F0"
127;"Mov. Integ. y Desarrollo";"F0F0F0"
128;"Mov. Peronista";"F0F0F0"
129;"Mov. Soc. Trabajadores";"F0F0F0"
130;"Mov. Social Entrerriano";"F0F0F0"
131;"Movimiento Cívico y Social";"F0F0F0"
132;"Movimiento de Renovacion Civica";"F0F0F0"
133;"Movimiento Independiente";"F0F0F0"
134;"Movimiento Nacional Alfonsinista";"F0F0F0"
135;"Movimiento Pampa Sur";"F0F0F0"
136;"Movimiento Popular Fueguino";"F0F0F0"
137;"Movimiento Popular Jujeño";"F0F0F0"
138;"Movimiento Popular Neuquino";"F0F0F0"
139;"Movimiento Proyecto Sur";"F0F0F0"
140;"Movimiento Solidario Popular";"F0F0F0"
141;"Nacional Sindical";"F0F0F0"
142;"No Integra Bloque";"F0F0F0"
143;"Nucleo Unidad Peronista";"F0F0F0"
144;"Nuevo Encuentro";"52ADCA"
145;"Nuevo Encuentro Popular y Solidario";"52ADCA"
146;"Nuevo Espacio Entrerriano";"F0F0F0"
485;"SER - Somos Energia Para Renovar";"F0F0F0"
486;"Encuentro Federal";"FFE633"
487;"Evolución Radical";"F26136"
488;"Frente de Izquierda";"641E16"
147;"P.A.I.S.";"F0F0F0"
148;"Part. Prov. San Luis";"F0F0F0"
149;"Participación Ciudadana";"F0F0F0"
43;"Cultura, Educación y Trabajo";"F0F0F0"
44;"De la Concertación";"F0F0F0"
45;"Del Bicentenario";"F0F0F0"
46;"Del Frente de la Concordia Misionero";"EDBB99"
489;"Identidad Bonaerense";"0b615e"
490;"Partido Obrero";"F0F0F0"
491;"Avanza Libertad";"884EA0"
492;"Republicanos Unidos";"F26136"
493;"La Libertad Avanza";"633974"
494;"CREO";"F0F0F0"
495;"Ahora Patria";"F0F0F0"
47;"Democracia Igualitaria y Participativa";"F0F0F0"
48;"Demócrata";"F0F0F0"
49;"Demócrata Cristiano";"F0F0F0"
50;"Demócrata Cristiano Federal";"F0F0F0"
51;"Demócrata de Capital Federal";"F0F0F0"
52;"Demócrata de Mendoza";"F0F0F0"
53;"Demócrata Progresista";"F0F0F0"
54;"Desarrollista";"F0F0F0"
55;"Desarrollo y Justicia";"F0F0F0"
56;"Diálogo por Buenos Aires";"F0F0F0"
57;"Diálogo y Trabajo";"F0F0F0"
58;"Dignidad Peronista";"F0F0F0"
59;"Dignidad y Justicia";"F0F0F0"
60;"El Chacho";"F0F0F0"
61;"Emancipación y Justicia";"F0F0F0"
62;"Encuentro";"F0F0F0"
63;"Encuentro Popular";"F0F0F0"
64;"Encuentro Popular y Social";"F0F0F0"
65;"Eva Perón";"F0F0F0"
66;"F.F.J. Azul y Blanco";"F0F0F0"
67;"F.I.S.CA.L";"F0F0F0"
68;"Fe";"F0F0F0"
69;"Federal";"F0F0F0"
70;"Federal Unidos por una Nueva Argentina";"0b615e"
71;"Frente Cívico - Córdoba";"F0F0F0"
72;"Frente Cívico por Santiago";"4b088a"
73;"Frente Cívico Social";"F0F0F0"
74;"Frente Cívico Tucumán";"F0F0F0"
75;"Frente Cívico y Social";"F0F0F0"
76;"Frente Cívico y Social de Catamarca";"F0F0F0"
77;"Frente de Todos";"1f77b4"
78;"Frente de Unidad Provincial";"F0F0F0"
79;"Frente del Movimiento Popular";"8A2908"
80;"Frente Grande";"F0F0F0"
81;"Frente Justicia Unión y Libertad";"8A2908"
82;"Frente Norte";"F0F0F0"
83;"Frente Nuevo Encuentro";"52ADCA"
84;"Frente para el Cambio";"F0F0F0"
85;"Frente para la Victoria - Bloquista";"F0F0F0"
86;"Frente para la Victoria - PJ";"1f77b4"
87;"Frente Partido Nuevo";"F0F0F0"
88;"Frente Peronista";"0b615e"
89;"Frente Peronista Federal";"F0F0F0"
90;"Frente Polo Social";"F0F0F0"
91;"Frente Popular Bonaerense";"F0F0F0"
92;"Frente por la Inclusión Social";"F0F0F0"
93;"Frente por los Derechos Ciudadanos";"F0F0F0"
94;"Frente Producción y Trabajo";"F0F0F0"
95;"Frente Progresista Cívico y Social";"F0F0F0"
96;"Frente Proyecto Corrientes";"F0F0F0"
97;"Frente Renovador";"0b615e"
98;"Frente Renovador de la Concordia Misiones";"EDBB99"
99;"Frente Renovador Peronista";"F0F0F0"
100;"FREPASO";"CCCCFF"
101;"Fte. de Izquierda y de los Trabajadores";"F0F0F0"
102;"Fuerza Porteña";"F0F0F0"
506;"Democracia Para Siempre";"F26136"
507;"Unidos";"F0F0F0"
508;"Defendamos Santa Fe";"F0F0F0"
